dataset,detector,ROC-AUC,PR-AUC,AvgPrec,Precision,Recall,F1,RangePrec,RangeRec,RangeF1,RangePR-AUC,RangePR-VUS,RangeROC-VUS,time_sec
SMD-machine-1-2,SAND,0.384943444892373,0.01846569277603443,0.018727037910335895,0.016666666666666666,0.07195571955719557,0.027064538514920196,0.023066644240113628,0.06691101167674593,0.034306572812248394,0.028624885726930827,0.08776707179160421,0.4367599902018185,102.939610081
SMD-machine-3-5,SAND,0.463540919236003,0.015834750428591334,0.01590433737971447,0.008974358974358974,0.04929577464788732,0.015184381778741865,0.021564969668047693,0.1317193227065181,0.03706215627000764,0.013672815489945355,0.07120291344415235,0.47206644678753723,101.676692061
SVDB-820,SAND,0.6001916866971183,0.11759569218754722,0.11760415908830299,0.043109817044022426,0.04362932664819457,0.043368016088135,0.05837615915473438,0.0036671045972377744,0.006900716327922249,0.0657632595150042,0.21143056921820433,0.5414354184676767,70.724405229
SVDB-827,SAND,0.5710322423278198,0.01170075920243376,0.011708163839646808,0.003346225718134805,0.03008987885892927,0.006022682831443097,0.006914557979436891,0.0014649078161635782,0.0024176219048979326,0.00979164198816028,0.015328132765132283,0.5136075982876248,81.81417487
CoMuT-ts_0,TinyTimeMixer,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,9.939612044
Exathlon-5_1_100000_63-64,TinyTimeMixer,0.938754754922321,0.7611671360053369,0.7612251328460568,0.7412604042806183,0.5732940960088284,0.6465463596764157,0.511377245508982,0.09358129091742216,0.15821032318418363,0.1226207925433209,0.12131451247656547,0.9074264359218137,172.760671626
GutenTAG-cbf-position-end,TinyTimeMixer,0.7408906038756146,0.06797886025976643,0.07082869370608348,0.0467706013363029,0.42,0.0841683366733467,0.05761316872427984,0.0302,0.03962771690738849,0.008522163150859874,0.012683068645942104,0.6857226113420803,7.930882076
GutenTAG-ecg-type-pattern-shift,TinyTimeMixer,0.5198253717890985,0.023551488619170908,0.02440468555319555,0.011135857461024499,0.1,0.02004008016032064,0.010657193605683837,0.002,0.0033679483581251757,0.005762418900589723,0.013911848511036481,0.5168236252981123,8.158186657
GutenTAG-poly-channels-single-of-2,TinyTimeMixer,0.8476842045967444,0.1636726176031937,0.16896530387591316,0.062360801781737196,0.56,0.11222444889779559,0.028856271043771045,0.0234,0.02584328077518768,0.007501162065125111,0.00898950810195049,0.728872598247712,9.285273742
GutenTAG-poly-same-count-1,TinyTimeMixer,0.8806190851734926,0.49635433314616595,0.4971110782739121,0.08240534521158129,0.74,0.14829659318637275,0.03282011174923347,0.04859999999999999,0.03918091971982004,0.018954448929376082,0.01832989089634792,0.6583280351719819,8.113658946
GutenTAG-rw-channels-all-of-3,TinyTimeMixer,0.5580869761153722,0.023437394338264424,0.02607735971796026,0.004454342984409799,0.04,0.008016032064128256,0.0024154589371980675,0.0016,0.0019249278152069296,0.01307139461231256,0.030660320168853502,0.3829187005858161,10.657438807
GutenTAG-sinus-channels-single-of-10,TinyTimeMixer,0.3385398828301049,0.007641686920755455,0.007732130532570716,0.0,0.0,0.0,0.0,0.0,0.0,0.005564173322121568,0.011769170525220697,0.44907431567298045,17.993304315
GutenTAG-sinus-channels-single-of-5,TinyTimeMixer,0.6359215863001231,0.0158396021554164,0.01632447518098105,0.011135857461024499,0.1,0.02004008016032064,0.012944983818770227,0.0014000000000000002,0.0025267337454315756,0.004747288670552822,0.016274970211978816,0.5557264182886806,12.731767642
KDD-TSAD-001_UCR_Anomaly_DISTORTED1sddb40,TinyTimeMixer,0.490817734567601,0.0072534505265003865,0.007279431904724683,0.005204366590505204,0.06612903225806452,0.009649329253942103,0.0061562139284340135,0.000345993756503642,0.000655165656388704,0.004720742256431442,0.005252400894951483,0.5081763998910109,65.236261955
KDD-TSAD-058_UCR_Anomaly_DISTORTEDapneaecg,TinyTimeMixer,0.5225472637128566,0.0019064284344468645,0.0019738159007362255,0.0016004267804747934,0.08823529411764706,0.003143830233167409,0.002333722287047841,0.003892733564013841,0.0029180513901272596,0.0010511417648423576,0.00479474829540007,0.44424478993471483,30.772467741
KDD-TSAD-081_UCR_Anomaly_DISTORTEDresperation3,TinyTimeMixer,0.05394684648948833,2.795232451530669e-6,5.590464903061338e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.3986118138190636e-11,0.0005130890355240787,0.422940161466982,152.601177779
